County,Population 18-24,Bachelors 18-24,Population Over 25,Bachelors Over 25
"Strafford County, New Hampshire",18898,1865,90024,38475
"Atlantic County, New Jersey",25411,2931,193298,62845
"Bergen County, New Jersey",78722,19924,677563,350858
"Burlington County, New Jersey",37794,8425,333534,139649
"Camden County, New Jersey",43033,7674,363709,132884
"Cape May County, New Jersey",4993,104,74740,28219
"Cumberland County, New Jersey",12323,1058,103185,19620
"Essex County, New Jersey",77107,11678,574470,220755
"Gloucester County, New Jersey",30826,4900,211418,78335
"Hudson County, New Jersey",54698,12968,509717,244136
"Hunterdon County, New Jersey",10084,2648,95415,55981
"Mercer County, New Jersey",38236,5028,260972,120966
"Middlesex County, New Jersey",82931,11773,595922,268145
"Monmouth County, New Jersey",53668,13957,458939,239814
"Morris County, New Jersey",42784,10828,364514,214848
"Ocean County, New Jersey",47575,6011,446582,153340
"Passaic County, New Jersey",47993,6480,345942,106153
"Salem County, New Jersey",5109,543,46984,11769
"Somerset County, New Jersey",28385,8794,246568,146397
"Sussex County, New Jersey",10936,1944,107235,43116
"Union County, New Jersey",48324,9255,389743,151812
"Warren County, New Jersey",8367,2484,81773,31966
"Bernalillo County, New Mexico",63930,7637,472501,182171
"Doña Ana County, New Mexico",33631,3776,138060,39495
"Lea County, New Mexico",8409,246,43115,5197
"McKinley County, New Mexico",6742,25,44054,6084
"Otero County, New Mexico",7853,319,46300,10159
"Sandoval County, New Mexico",12362,268,108498,37573
"San Juan County, New Mexico",10266,331,79691,14448
"Santa Fe County, New Mexico",11431,698,119111,54234
"Valencia County, New Mexico",6663,95,54070,11515
"Albany County, New York",47352,12388,212684,93158
"Bronx County, New York",133773,14118,911656,199135
"Broome County, New York",28438,3196,131695,41439
"Cattaraugus County, New York",6814,381,53755,11667
"Cayuga County, New York",5892,850,55029,14668
"Chautauqua County, New York",11203,1340,89785,23786
"Chemung County, New York",6741,1480,58065,15690
"Clinton County, New York",9430,1409,55807,16387
"Dutchess County, New York",32063,4681,211709,88921
"Erie County, New York",87651,18832,674145,253846
"Jefferson County, New York",14387,1601,74957,19991
"Kings County, New York",202612,46969,1815204,769512
"Madison County, New York",8494,531,46411,14889
"Monroe County, New York",74650,11170,526117,213516
"Nassau County, New York",118093,31490,972510,479188
"New York County, New York",148253,54030,1224634,789449
"Niagara County, New York",17551,2543,152381,43917
"Oneida County, New York",21470,1917,158982,47850
"Onondaga County, New York",49506,10052,321630,125903
"Ontario County, New York",10294,1204,81348,29079
"Orange County, New York",42047,5543,261018,80806
"Oswego County, New York",13055,1130,81457,16678
"Putnam County, New York",7998,2802,71319,32333
"Queens County, New York",171734,40877,1664139,589793
"Rensselaer County, New York",16477,1978,113271,41641
"Richmond County, New York",41084,10317,345380,117560
"Rockland County, New York",32261,7423,207590,93939
"St. Lawrence County, New York",16097,935,70893,17052
"Saratoga County, New York",19832,5035,174096,77756
"Schenectady County, New York",15353,1938,111014,42239
"Steuben County, New York",6855,1121,66171,16252
"Suffolk County, New York",140600,26602,1075415,433353
"Sullivan County, New York",5597,535,57705,16742
"Tompkins County, New York",29221,5693,61939,37402
"Ulster County, New York",17041,2280,134886,52688
"Warren County, New York",4864,1243,49668,16561
"Wayne County, New York",6417,593,66071,18309
"Westchester County, New York",86837,20907,696693,365820
"Alamance County, North Carolina",19066,773,119350,31335
"Brunswick County, North Carolina",8352,1938,123427,43257
"Buncombe County, North Carolina",23223,2280,202603,93108
"Burke County, North Carolina",6267,580,65981,14313
"Cabarrus County, North Carolina",19437,1760,157997,63682
"Caldwell County, North Carolina",6254,673,58333,12301
"Carteret County, North Carolina",4139,448,53751,19211
"Catawba County, North Carolina",13486,1767,115082,29840
"Chatham County, North Carolina",6329,637,58580,28276
"Cleveland County, North Carolina",8859,335,69440,14386
"Craven County, North Carolina",10060,978,69000,19960
"Cumberland County, North Carolina",43273,3652,209375,59130
"Davidson County, North Carolina",14195,954,121361,26091
"Durham County, North Carolina",37018,10135,231307,126418
"Forsyth County, North Carolina",40081,5734,262167,103347
"Franklin County, North Carolina",6782,694,51808,14525
"Gaston County, North Carolina",18983,2348,163467,48731
"Guilford County, North Carolina",66822,7236,361159,143588
"Harnett County, North Carolina",12701,644,91084,21576
"Henderson County, North Carolina",7332,504,89502,35416
"Iredell County, North Carolina",15659,1786,137165,47387
"Johnston County, North Carolina",18944,1966,158636,46964
"Lee County, North Carolina",5317,306,44477,10279
"Lincoln County, North Carolina",7783,219,66162,19888
"Mecklenburg County, North Carolina",109148,22513,779742,388699
"Moore County, North Carolina",6313,998,76554,30553
"Nash County, North Carolina",7374,857,67288,14815
"New Hanover County, North Carolina",27265,4943,166758,74571
"Onslow County, North Carolina",42911,974,113391,32268
"Orange County, North Carolina",30393,5436,92593,58659
"Pender County, North Carolina",4180,820,47102,15543
"Pitt County, North Carolina",30732,4295,106189,38688
"Randolph County, North Carolina",11907,1024,101979,19854
"Robeson County, North Carolina",12528,656,74653,12210
"Rockingham County, North Carolina",7534,413,65934,10528
"Rowan County, North Carolina",13843,871,103703,23375
"Surry County, North Carolina",5517,569,51154,8561
"Union County, North Carolina",23181,2555,163081,61917
"Wake County, North Carolina",108206,24685,800325,451801
"Wayne County, North Carolina",10586,608,79276,14472
"Wilkes County, North Carolina",4935,157,47735,6967
"Wilson County, North Carolina",7259,995,53518,11890
"Burleigh County, North Dakota",9140,1975,66937,24867
"Cass County, North Dakota",29390,6781,121221,53916
"Grand Forks County, North Dakota",14925,2689,42903,16757
"Ward County, North Dakota",7941,486,44415,12015
"Allen County, Ohio",9846,792,67774,13523
"Ashtabula County, Ohio",8064,111,67951,10762
"Belmont County, Ohio",4995,352,48051,10141
"Butler County, Ohio",45173,4117,253568,84311
"Clark County, Ohio",12061,1157,93343,19106
"Clermont County, Ohio",16837,1306,147689,45280
"Columbiana County, Ohio",7182,120,72930,11695
"Cuyahoga County, Ohio",103505,17135,881495,332211
"Delaware County, Ohio",18822,3619,152078,86516
"Erie County, Ohio",6914,1409,53652,14942
"Fairfield County, Ohio",13289,1191,111154,33146
"Franklin County, Ohio",129359,19184,889546,376652
"Geauga County, Ohio",7468,647,66797,28895
"Greene County, Ohio",19540,2697,114430,46479
"Hamilton County, Ohio",77883,13466,561054,234411
"Hancock County, Ohio",7063,1200,51720,17236
"Lake County, Ohio",19103,2402,168592,55580
"Licking County, Ohio",16262,1062,123947,38487
"Lorain County, Ohio",27108,3645,221436,66647
"Lucas County, Ohio",39426,5612,290548,87915
"Mahoning County, Ohio",20230,3249,160136,47434
"Marion County, Ohio",5365,327,45516,7607
"Medina County, Ohio",13886,1915,130825,47398
"Miami County, Ohio",8123,956,77072,21921
"Montgomery County, Ohio",49221,5618,367909,121062
"Muskingum County, Ohio",7611,1148,59167,13227
"Portage County, Ohio",25413,2860,108007,39354
"Richland County, Ohio",10804,1375,87500,15693
"Ross County, Ohio",5606,547,54939,9052
"Scioto County, Ohio",5842,612,50635,10886
"Stark County, Ohio",31416,4767,261722,67284
"Summit County, Ohio",44431,5172,381824,141081
"Trumbull County, Ohio",16019,1378,143665,30623
"Tuscarawas County, Ohio",7510,361,63720,13576
"Union County, Ohio",5460,511,45815,19142
"Warren County, Ohio",19819,3382,171260,78040
"Wayne County, Ohio",11589,597,77350,19475
"Wood County, Ohio",21465,3642,83791,30234
"Canadian County, Oklahoma",15426,719,110736,36069
"Cleveland County, Oklahoma",46368,5655,192912,69891
"Comanche County, Oklahoma",14601,1493,79134,19807
"Creek County, Oklahoma",6126,284,49938,10219
"Muskogee County, Oklahoma",5978,360,44163,8734
"Oklahoma County, Oklahoma",77814,7610,524289,187002
"Payne County, Oklahoma",22600,2775,45152,18134
"Pottawatomie County, Oklahoma",7796,272,48876,9649
"Rogers County, Oklahoma",8868,822,67385,17110
"Tulsa County, Oklahoma",63818,7041,446485,155219
"Wagoner County, Oklahoma",6725,484,59773,16582
"Benton County, Oregon",22404,2159,60509,33756
"Clackamas County, Oregon",30536,2102,305468,122470
"Deschutes County, Oregon",14544,1573,153292,68702
"Douglas County, Oregon",7195,323,83872,15727
"Jackson County, Oregon",17345,1132,159606,48269
"Josephine County, Oregon",4872,170,66721,14198
"Klamath County, Oregon",5635,344,49806,9772
"Lane County, Oregon",50053,3551,266272,94153
"Linn County, Oregon",9149,565,92791,18883
"Marion County, Oregon",31795,1766,233879,60563
"Multnomah County, Oregon",63334,11542,593654,282188
"Polk County, Oregon",9980,822,60459,20534
"Umatilla County, Oregon",6652,675,54107,10726
"Washington County, Oregon",48700,8098,424015,196453
"Yamhill County, Oregon",10381,262,75347,24184
"Adams County, Pennsylvania",11553,1240,74389,18049
"Allegheny County, Pennsylvania",111024,23357,895920,401562
"Armstrong County, Pennsylvania",4229,132,48310,7596
"Beaver County, Pennsylvania",11959,966,122124,34564
"Berks County, Pennsylvania",41650,4299,295038,80567
"Blair County, Pennsylvania",11016,1064,86339,19453
"Bucks County, Pennsylvania",51156,11434,467118,204536
"Butler County, Pennsylvania",18120,2247,141915,54363
"Cambria County, Pennsylvania",12179,1777,94252,21988
"Carbon County, Pennsylvania",4149,90,48947,9117
"Centre County, Pennsylvania",38958,4058,96752,44498
"Chester County, Pennsylvania",49278,8880,377779,214000
"Clearfield County, Pennsylvania",5611,416,58015,11337
"Crawford County, Pennsylvania",7614,437,58528,13039
"Cumberland County, Pennsylvania",28630,3584,185593,74669
"Dauphin County, Pennsylvania",23527,4139,201533,72471
"Delaware County, Pennsylvania",58339,9342,391674,163537
"Erie County, Pennsylvania",26601,3845,186013,58297
"Fayette County, Pennsylvania",8626,628,93091,19227
"Franklin County, Pennsylvania",11963,996,111211,27219
"Indiana County, Pennsylvania",13853,823,54310,13628
"Lackawanna County, Pennsylvania",20628,2170,151185,47204
"Lancaster County, Pennsylvania",50353,6480,379007,123494
"Lawrence County, Pennsylvania",7389,981,60628,15393
"Lebanon County, Pennsylvania",11902,1797,99863,25645
"Lehigh County, Pennsylvania",33766,3583,258605,88807
"Luzerne County, Pennsylvania",28403,3518,232117,58198
"Lycoming County, Pennsylvania",9743,744,80235,19765
"Mercer County, Pennsylvania",10389,1361,78496,21308
"Monroe County, Pennsylvania",14541,2072,120922,35347
"Montgomery County, Pennsylvania",71040,14831,612393,326464
"Northampton County, Pennsylvania",35895,4937,222316,70085
"Northumberland County, Pennsylvania",5940,440,67377,12935
"Philadelphia County, Pennsylvania",160802,30241,1076190,390174
"Schuylkill County, Pennsylvania",10400,938,104585,20420
"Somerset County, Pennsylvania",4842,745,54419,9728
"Washington County, Pennsylvania",17219,2096,152457,51091
"Westmoreland County, Pennsylvania",26100,2975,262804,85919
"York County, Pennsylvania",38583,4902,322939,88197
"Kent County, Rhode Island",12149,2639,128399,44779
"Newport County, Rhode Island",7437,1680,63865,35632
"Providence County, Rhode Island",67920,10616,458224,156936
"Washington County, Rhode Island",18520,3768,92169,51802
"Aiken County, South Carolina",11457,1023,126234,38865
"Anderson County, South Carolina",18065,1970,144672,37302
"Beaufort County, South Carolina",21409,450,141265,65714
"Berkeley County, South Carolina",24619,2612,163347,52681
"Charleston County, South Carolina",37038,7955,302242,151168
"Dorchester County, South Carolina",14314,2251,112365,31528
"Florence County, South Carolina",12433,548,92305,23038
"Greenville County, South Carolina",46807,8456,376965,157744
"Greenwood County, South Carolina",7365,763,46690,11457
"Horry County, South Carolina",30122,3445,288791,79753
"Kershaw County, South Carolina",5558,220,46937,10307
"Lancaster County, South Carolina",6778,411,75376,23853
"Laurens County, South Carolina",5956,186,48046,10242
"Lexington County, South Carolina",23859,2733,212078,77464
"Oconee County, South Carolina",5499,981,59699,17145
"Orangeburg County, South Carolina",8755,88,56500,10221
"Pickens County, South Carolina",24619,2767,84419,22393
"Richland County, South Carolina",64716,9056,267592,112295
"Spartanburg County, South Carolina",32378,3536,233791,60138
"Sumter County, South Carolina",10452,357,69619,17863
"York County, South Carolina",23737,4602,201854,83028
"Lincoln County, South Dakota",5479,1171,46368,19991
"Minnehaha County, South Dakota",17088,3153,135601,48512
"Pennington County, South Dakota",9432,584,79968,27795
"Anderson County, Tennessee",6556,1151,55845,14417
"Blount County, Tennessee",10039,1107,102245,29942
"Bradley County, Tennessee",10603,1430,76194,20336
"Davidson County, Tennessee",69543,16880,498062,244533
"Greene County, Tennessee",6283,92,51768,10730
"Hamblen County, Tennessee",6019,0,44528,8926
"Hamilton County, Tennessee",32436,4345,264720,101639
"Knox County, Tennessee",60883,9991,331988,132048
"Madison County, Tennessee",10328,606,66946,15019
"Maury County, Tennessee",7644,728,76275,21589
"Montgomery County, Tennessee",25383,2343,147640,45850
"Putnam County, Tennessee",11591,1309,53733,16613
"Robertson County, Tennessee",5460,561,52230,11712
"Rutherford County, Tennessee",43162,6846,230296,77879
"Sevier County, Tennessee",7491,545,71433,16629
"Shelby County, Tennessee",81581,10889,606353,215710
"Sullivan County, Tennessee",12452,1231,117834,29124
"Sumner County, Tennessee",16117,2432,141431,49424
"Washington County, Tennessee",16834,2672,94506,35155
"Williamson County, Tennessee",21579,3725,172767,108184
"Wilson County, Tennessee",12237,1861,109758,39370
"Angelina County, Texas",6683,327,58625,11606
"Bastrop County, Texas",9262,243,70088,19130
"Bell County, Texas",43608,1667,238761,64499
"Bexar County, Texas",215838,22560,1337500,428849
"Bowie County, Texas",7981,472,62512,14449
"Brazoria County, Texas",34420,2751,254850,82999
"Brazos County, Texas",66130,8297,127764,58535
"Cameron County, Texas",48366,3775,255288,55225
"Collin County, Texas",104088,21380,770907,435393
"Comal County, Texas",15263,2203,128918,56720
"Coryell County, Texas",11500,133,55149,9736
"Dallas County, Texas",260173,40746,1692266,603580
"Denton County, Texas",90685,16125,660143,327992
"Ector County, Texas",15479,868,98119,15005
"Ellis County, Texas",21097,2036,135668,42954
"El Paso County, Texas",97977,12494,546029,140721
"Fort Bend County, Texas",76971,13401,576638,289858
"Galveston County, Texas",30709,4589,242749,84563
"Grayson County, Texas",11940,551,97311,26574
"Gregg County, Texas",12765,571,80607,19030
"Guadalupe County, Texas",17376,2351,121980,37735
"Harris County, Texas",464755,50066,3085911,1053032
"Harrison County, Texas",5286,38,48078,10346
"Hays County, Texas",42474,5298,166832,78075
"Henderson County, Texas",6411,361,60198,12366
"Hidalgo County, Texas",103145,6417,511077,108975
"Hood County, Texas",4251,425,48648,16053
"Hunt County, Texas",11234,985,71203,15257
"Jefferson County, Texas",21917,2618,167986,36349
"Johnson County, Texas",16833,1125,128980,30989
"Kaufman County, Texas",14868,973,108618,30501
"Liberty County, Texas",8640,221,63366,5696
"Lubbock County, Texas",53780,7243,189487,66423
"McLennan County, Texas",40046,5697,163373,44686
"Midland County, Texas",14798,902,107172,32760
"Montgomery County, Texas",58482,5357,446315,180345
"Nueces County, Texas",35955,3436,231955,53849
"Orange County, Texas",6727,521,56727,10618
"Parker County, Texas",13392,568,112086,39772
"Potter County, Texas",11998,897,72917,12875
"Randall County, Texas",14941,1723,96579,30645
"Rockwall County, Texas",9583,2268,81289,33542
"San Patricio County, Texas",5961,581,45845,8020
"Smith County, Texas",24566,1081,159265,42883
"Starr County, Texas",7586,580,36978,5906
"Tarrant County, Texas",211180,28499,1400304,481984
"Taylor County, Texas",21098,3019,89055,24954
"Tom Green County, Texas",13183,1221,77318,19088
"Travis County, Texas",124112,28425,938274,534690
"Victoria County, Texas",9233,1017,59267,10843
"Walker County, Texas",14918,443,52631,13012
"Webb County, Texas",31406,2263,153782,34427
"Wichita County, Texas",16477,1331,84089,19977
"Williamson County, Texas",54370,8407,457034,230000
"Wise County, Texas",5687,354,51049,12480
"Cache County, Utah",27824,1502,72266,31206
"Davis County, Utah",36535,2739,222703,91058
"Salt Lake County, Utah",120680,13307,768693,298703
"Tooele County, Utah",7621,179,47722,10693
"Utah County, Utah",122539,9173,359974,159049
"Washington County, Utah",19323,1433,130774,47918
"Weber County, Utah",27055,2079,171613,49293
"Chittenden County, Vermont",25778,4002,114817,69809
"Albemarle County, Virginia",13901,2901,78971,47262
"Arlington County, Virginia",19433,12279,172399,134843
"Augusta County, Virginia",5779,630,58343,14068
"Bedford County, Virginia",5984,1382,59379,22221
"Chesterfield County, Virginia",33506,4359,256793,118203
"Fairfax County, Virginia",96713,21136,783879,513132
"Fauquier County, Virginia",6388,606,51678,21426
"Frederick County, Virginia",6918,651,66805,21857
"Hanover County, Virginia",9793,2272,79173,35717
"Henrico County, Virginia",25891,2415,235415,113215
"James City County, Virginia",5878,1046,59692,30462
"Loudoun County, Virginia",35228,7351,282964,182901
"Montgomery County, Virginia",30192,3805,54183,26910
"Prince William County, Virginia",44738,5803,314332,138002
"Roanoke County, Virginia",7999,1416,70151,25419
"Rockingham County, Virginia",8369,654,58777,16915
"Spotsylvania County, Virginia",12456,1679,98872,33436
"Stafford County, Virginia",15653,2205,105357,46537
"York County, Virginia",6806,1209,48208,24104
"Alexandria city, Virginia",9405,2994,118226,82656
"Chesapeake city, Virginia",20059,3096,172265,60218
"Hampton city, Virginia",15554,1360,93098,27932
"Lynchburg city, Virginia",21362,2810,42958,15781
"Newport News city, Virginia",21925,1927,120011,34063
"Norfolk city, Virginia",36162,4294,150042,48221
"Portsmouth city, Virginia",11563,1298,62986,14152
"Richmond city, Virginia",31256,4707,159331,73017
"Roanoke city, Virginia",7917,1247,68025,20811
"Suffolk city, Virginia",8721,935,66740,21901
"Virginia Beach city, Virginia",39444,6290,317266,127788
"Benton County, Washington",18629,1828,139189,45600
"Chelan County, Washington",6264,1052,56004,19840
"Clallam County, Washington",4147,103,60977,20155
"Clark County, Washington",41456,5195,361084,118263
"Cowlitz County, Washington",8545,288,78541,13036
"Franklin County, Washington",10435,346,58396,10933
"Grant County, Washington",9653,0,62938,11102
"Grays Harbor County, Washington",4852,425,56960,11604
"Island County, Washington",6994,560,64849,23569
"King County, Washington",186980,53151,1644114,924513
"Kitsap County, Washington",26415,1734,197506,71434
"Lewis County, Washington",6511,246,60810,12959
"Mason County, Washington",4357,669,50526,12330
"Pierce County, Washington",83047,9374,633438,192638
"Skagit County, Washington",8499,728,95317,28518
"Snohomish County, Washington",61849,9878,594717,228980
"Spokane County, Washington",50771,5146,381794,130510
"Thurston County, Washington",23241,2855,214037,78658
"Whatcom County, Washington",31267,5300,157171,63565
"Yakima County, Washington",24940,1987,158000,29919
"Berkeley County, West Virginia",9748,1206,90407,21717
"Cabell County, West Virginia",13179,2048,61421,21586
"Harrison County, West Virginia",5004,648,46201,13648
"Kanawha County, West Virginia",13898,1474,127313,38120
"Monongalia County, West Virginia",23681,4905,65946,32349
"Raleigh County, West Virginia",6041,78,51508,11751
"Wood County, West Virginia",6250,268,59851,14759
"Brown County, Wisconsin",24892,3787,183873,59584
"Chippewa County, Wisconsin",4688,255,48224,10614
"Dane County, Wisconsin",80915,21223,377099,209883
"Dodge County, Wisconsin",6392,670,65027,12820
"Eau Claire County, Wisconsin",17079,2695,68765,29038
"Fond du Lac County, Wisconsin",8653,1022,73820,15926
"Jefferson County, Wisconsin",9560,608,59749,15947
"Kenosha County, Wisconsin",16385,1788,115531,31154
"La Crosse County, Wisconsin",19749,3106,77848,27140
"Manitowoc County, Wisconsin",6410,999,59049,14262
"Marathon County, Wisconsin",9746,1341,97403,28518
"Milwaukee County, Wisconsin",89209,12797,613220,211209
"Outagamie County, Wisconsin",15856,2143,132574,47549
"Ozaukee County, Wisconsin",7378,641,66295,32932
"Portage County, Wisconsin",11723,801,45678,14275
"Racine County, Wisconsin",17569,2242,133930,42414
"Rock County, Wisconsin",14234,1381,113367,27784
"St. Croix County, Wisconsin",7412,1173,66560,26510
"Sauk County, Wisconsin",4644,401,46683,12638
"Sheboygan County, Wisconsin",9571,1839,83267,22924
"Walworth County, Wisconsin",14184,2126,70973,23271
"Washington County, Wisconsin",10876,1032,98749,33989
"Waukesha County, Wisconsin",30602,5903,294850,143598
"Winnebago County, Wisconsin",19998,2150,116840,33586
"Wood County, Wisconsin",5143,480,52971,12796
"Laramie County, Wyoming",8508,759,69787,19803
"Natrona County, Wyoming",5726,212,55389,17478
"Arecibo Municipio, Puerto Rico",7659,906,64772,19838
"Bayamón Municipio, Puerto Rico",16354,1839,137284,43349
"Caguas Municipio, Puerto Rico",11239,1418,94090,32595
"Carolina Municipio, Puerto Rico",13481,2336,114679,39168
"Guaynabo Municipio, Puerto Rico",7190,1262,69589,35033
"Mayagüez Municipio, Puerto Rico",11017,1113,48731,12256
"Ponce Municipio, Puerto Rico",12197,1460,97341,27486
"San Juan Municipio, Puerto Rico",30456,3221,253344,111169
"Toa Alta Municipio, Puerto Rico",6339,1048,48812,15705
"Toa Baja Municipio, Puerto Rico",6722,1084,54396,15894
"Trujillo Alto Municipio, Puerto Rico",N,N,49061,24385
